Seção;ID;Cenário de Teste / Passo a Passo;Resultado Esperado;Status (Sim/Não);Observações
Frontend - Planos e Limites;TF-11;"Formatador de Valores Financeiros - 1. Analise o preço listado nos cartões de cada plano.";O preço dos planos faturados deve exibir o formato padrão em Real brasileiro, ex: R$ 99,00, R$ 199,00;;
Frontend - Planos e Limites;TF-12;"Botão ""Começar com [Plano]"" (Deslogado) - 1. Na página /planos deslogado, clique em qualquer botão de contratação.";O sistema deve direcioná-lo para a tela /signup para criar uma conta do zero;;
Frontend - Planos e Limites;TF-13;"Botão ""Começar com [Plano]"" (Logado) - 1. Faça login no sistema. 2. Retorne a /planos e clique no botão do plano desejado.";Deve direcionar para o fluxo interno de contratação /app/contratacao repassando o ID do plano selecionado;;
Frontend - Cadastro e CRM;TF-14;"Tela de Novo Imóvel (/app/imoveis/novo) - 1. Acesse o formulário de cadastro de novos imóveis.";Deve carregar todos os campos (tipo de imóvel, valores, área, localização) em um formulário responsivo e sem travamentos;;
Frontend - Cadastro e CRM;TF-15;"Busca de Cidades e Geocoding Mapas - 1. Insira um endereço completo no cadastro de imóvel. 2. Verifique se o mapa carrega a marcação na localização correspondente.";O motor Leaflet integrado com OpenStreetMap (Nominatim) deve carregar o mapa rapidamente sem requisições bloqueadas de API;;
Frontend - Cadastro e CRM;TF-16;"Upload de Fotos do Imóvel - 1. Abra um imóvel e adicione múltiplas imagens na galeria. 2. Defina uma foto como capa (thumbnail).";O card da thumb deve atualizar visualmente na hora (ganhando a estrela ou badge de Capa) refletindo a alteração;;
Frontend - Cadastro e CRM;TF-17;"Funil de Vendas e Kanban de Leads - 1. Vá até /app/leads. 2. Arraste um lead de uma coluna de status para outra.";O lead deve atualizar sua coluna no banco de dados e persistir a alteração imediatamente após o drop;;
Backend - Banco e Roles;TB-01;"Carregamento de Planos via Supabase - 1. Abra a rede (Network no DevTools). 2. Acesse /planos.";A requisição de select na tabela public.plans deve retornar status HTTP 200 acompanhado do JSON dos planos ativos;;
Backend - Banco e Roles;TB-02;"Resiliência com Banco de Dados Vazio - 1. Crie um cenário em que a tabela de planos retorne vazia. 2. Verifique o layout da interface.";O backend do componente deve acionar a lista FALLBACK_PLANS estática em tempo de execução para evitar que a tela fique em branco;;
Backend - Banco e Roles;TB-03;"Atribuição das Roles de Super Admin - 1. Logue com uma conta cadastrada como Super Admin. 2. Navegue para o painel de administração em /admin.";O sistema deve resolver a Promise de loadRoles antes de setar loading = false, impedindo redirecionamentos prematuros indesejados;;
Backend - Jobs e Segurança;TB-04;"Bloqueio de Cron Ends sem API Key - 1. Faça uma requisição direta ao endpoint /api/public/cron/buscas-alertas omitindo o cabeçalho apikey.";Deve retornar status HTTP 401 Unauthorized e bloquear a execução do script;;
Backend - Jobs e Segurança;TB-05;"Prevenção de Bypass com Segredo Nulo - 1. Simule temporariamente um ambiente onde SUPABASE_PUBLISHABLE_KEY esteja nulo. 2. Envie uma requisição vazia para a rota do Cron.";A rota deve manter-se segura bloqueando as requisições em vez de cair na facilidade de aceitar comparação vazia por bypass;;
Backend - Jobs e Segurança;TB-06;"Fuso Horário de Agendamento de Visitas - 1. Agende uma visita para as 21:30 no fuso de Brasília (UTC-3). 2. Abra o calendário de tarefas do corretor.";O compromisso deve permanecer fixo no respectivo dia selecionado pelo cliente, eliminando o shift que empurrava para o dia seguinte;;
Backend - Jobs e Segurança;TB-07;"Envio de Notificações Transacionais - 1. Cadastre um novo lead focado em busca de imóveis. 2. Forneça imóveis que atendam essa busca.";O sistema deve computar e formatar com perfeição o layout de notificação, enviando as informações do lead e o rodapé da marca;;
